age,balance,campaign,pdays,last_contact,poutcome_success
40,442,1,-1,231,0
43,483,6,-1,91,0
34,695,4,-1,186,0
40,84,7,-1,159,0
51,2007,3,-1,98,0
58,0,2,-1,139,0
47,1315,4,-1,-2,0
52,698,2,-1,130,0
53,6525,3,-1,169,0
32,736,3,-1,179,0
32,0,1,-1,131,0
49,9131,1,461,92,0
57,13,2,368,194,0
38,14352,1,-1,73,0
32,-410,3,-1,190,0
20,292,1,-1,198,0
32,298,4,-1,282,0
33,3915,4,-1,103,0
30,145,3,175,286,0
37,264,1,-1,155,0
34,0,3,-1,116,0
32,289,12,-1,187,0
36,82,1,178,289,1
49,560,3,-1,116,0
49,410,7,-1,83,0
53,887,2,-1,189,0
53,6649,1,-1,134,0
56,3450,1,181,100,1
50,3988,4,-1,141,0
31,1,6,-1,289,0
75,962,1,-1,154,0
34,158,2,132,70,0
56,-82,6,-1,112,0
56,545,1,-1,293,0
44,59,4,341,184,0
38,434,1,-1,182,0
51,300,6,-1,286,0
42,1206,4,-1,162,0
37,784,3,-1,282,0
26,245,2,-1,174,0
43,1035,1,-1,294,0
31,1475,1,-1,169,0
36,341,2,183,279,1
46,2671,3,91,5,1
27,6791,5,94,147,0
37,199,1,-1,31,0
36,699,1,-1,118,0
27,-23,4,-1,131,0
41,2185,4,309,225,0
44,318,2,-1,0,0
32,715,1,-1,99,0
24,1684,4,-1,226,0
60,10285,2,-1,165,0
31,147,1,-1,195,0
57,909,2,-1,116,0
34,3043,1,-1,-2,0
31,430,16,-1,116,0
46,1,7,-1,131,0
44,4119,1,-1,-3,0
35,-126,2,-1,88,0
30,-287,3,-1,127,0
37,1142,2,-1,124,0
42,72,2,348,212,0
33,-52,1,-1,184,0
50,238,5,-1,83,0
41,261,15,-1,112,0
41,8238,4,-1,172,0
45,-407,2,224,293,0
30,3,6,-1,82,0
53,1624,3,97,7,1
29,80,5,361,187,0
37,-9,2,-1,81,0
35,0,4,-1,162,0
59,-91,1,369,189,0
39,3324,1,-1,132,0
51,42,2,-1,189,0
34,2159,1,-1,273,0
33,350,5,-1,147,0
52,3990,1,153,-1,0
30,1761,2,294,187,0
42,784,3,-1,204,0
80,2354,2,181,106,1
25,722,2,-1,211,0
41,713,1,-1,183,0
35,-631,3,-1,113,0
52,8180,1,144,219,0
37,949,1,-1,187,0
54,1327,2,-1,166,0
36,767,1,355,197,0
26,166,2,-1,125,0
41,5907,1,167,195,0
52,989,1,-1,99,0
44,382,1,-1,166,0
48,339,4,-1,127,0
45,-72,1,-1,191,0
53,529,1,-1,294,0
56,97,1,-1,1,0
48,3531,2,287,212,0
26,5829,2,-1,118,0
51,2995,2,-1,160,0
25,158,2,-1,125,0
54,0,5,192,12,0
42,1628,1,195,286,1
48,0,3,-1,92,0
28,390,1,232,50,1
55,1279,3,357,189,0
32,1484,7,-1,172,0
48,312,2,-1,288,0
61,1058,3,-1,205,0
38,0,1,171,195,0
33,116,1,-1,106,0
61,3371,2,-1,51,0
36,618,2,-1,288,0
27,1918,1,-1,282,0
46,4301,1,183,0,0
34,4053,2,-1,179,0
61,569,1,-1,106,0
49,2062,4,-1,141,0
30,1320,3,362,197,0
30,1268,4,-1,125,0
51,509,4,-1,126,0
73,2850,2,28,185,0
40,192,2,-1,103,0
32,-55,4,-1,84,0
48,680,4,-1,187,0
33,1410,1,254,286,0
50,0,1,105,97,0
54,922,2,-1,294,0
33,1114,3,-1,127,0
37,655,6,-1,287,0
49,1,3,-1,196,0
32,10,2,-1,169,0
27,827,1,107,167,0
27,535,1,94,2,1
45,487,4,-1,91,0
47,2836,2,-1,96,0
64,679,3,-1,210,0
45,0,1,165,33,0
33,865,2,-1,184,0
33,3514,2,184,-2,0
49,380,2,-1,188,0
53,248,2,-1,191,0
47,591,1,-1,112,0
36,380,1,-1,182,0
38,175,1,-1,172,0
59,410,1,-1,289,0
33,3770,2,-1,294,0
46,1342,1,-1,287,0
54,-119,1,-1,189,0
51,53,2,-1,176,0
52,732,1,-1,287,0
43,3327,19,-1,82,0
55,77,2,-1,148,0
45,85,1,-1,194,0
38,384,1,-1,288,0
27,689,1,307,296,0
64,571,2,-1,212,0
33,-14,2,-1,188,0
37,1050,3,-1,288,0
38,504,3,-1,176,0
54,3,1,-1,133,0
26,246,3,-1,186,0
31,-241,2,355,184,0
51,74,2,287,194,0
27,464,1,-1,253,0
57,79,1,592,262,0
35,17,4,-1,198,0
52,7192,1,-1,106,0
39,11835,2,-1,99,0
29,149,4,-1,176,0
61,77,4,-1,104,0
28,422,2,-1,183,0
35,2205,3,-1,172,0
57,1357,2,-1,0,0
41,4903,1,180,184,0
26,3160,1,-1,175,0
34,88,2,-1,175,0
51,108,2,-1,0,0
42,7,7,-1,90,0
28,305,1,-1,123,0
32,410,1,-1,218,0
40,431,2,-1,134,0
41,783,2,-1,172,0
36,-342,3,-1,113,0
38,8637,1,-1,160,0
29,908,1,-1,151,0
37,0,1,-1,-3,0
39,507,7,-1,190,0
36,671,1,457,78,0
50,1688,2,-1,112,0
57,515,2,-1,189,0
35,725,1,-1,131,0
31,7005,4,-1,84,0
40,303,6,-1,172,0
34,5878,7,98,293,1
51,1270,3,-1,293,0
37,1125,1,-1,168,0
37,1193,2,-1,190,0
50,-141,2,-1,151,0
33,206,1,-1,5,0
42,324,3,-1,126,0
31,363,2,-1,97,0
23,250,1,-1,184,0
45,4758,5,287,197,1
36,4359,6,-1,110,0
49,273,1,-1,118,0
44,0,1,272,289,0
25,10,1,294,195,0
36,668,1,-1,197,0
24,228,1,-1,169,0
42,244,1,-1,216,0
47,0,3,-1,160,0
34,-294,2,-1,175,0
30,1476,4,-1,168,0
38,422,3,-1,191,0
40,34,4,-1,85,0
34,2187,5,-1,198,0
47,0,2,-1,91,0
35,920,2,286,99,0
46,120,4,-1,154,0
29,873,2,-1,258,0
38,648,2,-1,285,0
45,854,1,-1,133,0
50,230,2,-1,120,0
44,882,4,-1,96,0
51,17418,2,-1,292,0
26,199,6,-1,117,0
48,7825,5,-1,-3,0
37,18,2,-1,159,0
30,4,3,-1,83,0
56,401,1,-1,-2,0
44,3321,3,-1,97,0
32,289,4,-1,194,0
50,6825,9,-1,-3,0
47,80,2,-1,91,0
54,89,3,-1,131,0
54,1849,4,-1,98,0
53,256,1,-1,169,0
34,544,2,-1,175,0
56,934,2,-1,112,0
40,576,3,-1,212,0
36,543,1,269,215,0
32,316,4,-1,282,0
45,1847,5,-1,155,0
34,0,12,-1,182,0
49,5028,1,-1,190,0
30,1289,2,-1,181,0
34,213,1,343,191,0
38,0,1,-1,117,0
47,157,8,-1,85,0
47,644,3,160,294,0
32,259,4,-1,119,0
41,246,3,-1,152,0
29,731,3,-1,218,0
32,169,2,-1,90,0
50,85,1,-1,170,0
47,2383,1,-1,162,0
47,665,3,-1,92,0
36,953,1,94,180,0
34,4062,1,-1,187,0
37,0,3,-1,-1,0
46,0,2,-1,176,0
47,1934,1,364,188,0
48,1036,2,-1,1,0
42,480,12,-1,165,0
50,-677,1,-1,131,0
41,3018,2,-1,1,0
36,462,2,-1,110,0
45,1558,1,-1,196,0
33,3255,4,-1,96,0
46,130,1,349,188,0
40,121,1,-1,119,0
60,130,1,-1,165,0
38,2220,2,-1,134,0
24,525,1,332,216,0
41,1563,1,-1,187,0
29,101,2,355,184,0
40,96,14,-1,116,0
36,918,8,-1,82,0
37,57,1,-1,294,0
36,49,2,365,187,0
33,15341,1,334,212,0
68,1316,5,-1,259,0
47,823,3,-1,152,0
59,381,4,-1,194,0
29,196,2,-1,292,0
53,255,1,-1,-1,0
65,1343,2,-1,289,0
25,1179,2,95,178,0
52,537,1,-1,162,0
50,26,4,-1,117,0
46,4,4,-1,102,0
43,214,2,324,215,0
41,3096,6,-1,117,0
26,124,8,-1,190,0
55,5,2,-1,130,0
56,415,2,-1,88,0
18,108,1,183,282,1
41,27696,2,184,279,1
48,606,6,-1,258,0
54,1510,2,-1,166,0
57,6900,2,-1,211,0
50,490,1,-1,159,0
45,8564,1,-1,85,0
39,597,6,-1,125,0
43,778,5,-1,187,0
56,15520,1,-1,0,0
50,10250,3,385,-19,0
51,0,1,-1,166,0
40,60,6,-1,155,0
40,573,1,-1,188,0
39,4660,2,-1,172,0
36,243,2,360,195,0
35,670,1,-1,132,0
40,198,5,364,184,0
50,318,2,-1,186,0
54,338,5,-1,123,0
29,1441,2,-1,287,0
35,443,2,316,215,0
38,376,1,-1,195,0
39,32,10,-1,151,0
48,1230,2,182,189,1
39,61,2,-1,91,0
32,1694,1,-1,294,0
48,256,4,-1,173,0
39,94,2,-1,103,0
37,45,1,-1,195,0
53,5558,6,189,-3,0
59,46,2,-1,96,0
37,241,25,-1,111,0
38,465,3,-1,113,0
32,1229,1,182,38,1
36,686,2,-1,112,0
56,74,2,-1,176,0
39,140,5,-1,198,0
30,7529,1,-1,30,0
31,1716,2,340,219,0
40,-666,2,-1,175,0
29,0,2,229,287,0
48,660,1,561,273,1
24,770,1,-1,186,0
36,1291,1,86,202,1
40,217,1,-1,196,0
39,2366,3,325,216,0
41,2676,4,-1,82,0
29,-133,1,-1,123,0
36,281,2,-1,132,0
21,2488,6,169,141,1
48,1496,2,258,293,0
32,552,2,-1,196,0
39,276,2,-1,162,0
46,-363,1,-1,174,0
49,51,1,-1,195,0
33,1737,2,106,96,0
42,1189,3,-1,166,0
57,5270,1,-1,1,0
26,141,1,-1,119,0
46,499,10,-1,110,0
56,2190,1,-1,159,0
26,187,1,-1,193,0
37,2042,1,-1,182,0
28,1595,1,254,70,1
59,116,4,422,98,0
57,0,4,-1,98,0
52,1708,1,75,73,0
55,0,6,193,52,1
43,3530,1,-1,124,0
44,31,1,-1,162,0
34,1873,1,-1,289,0
40,40,1,-1,-3,0
28,36,3,-1,127,0
37,4769,1,-1,293,0
45,2552,1,293,170,0
39,1099,2,245,293,0
58,1657,2,-1,165,0
34,381,1,-1,190,0
36,758,2,-1,154,0
54,43,1,-1,-3,0
33,164,1,-1,188,0
43,104,1,-1,154,0
43,103,1,183,0,0
46,111,3,183,-1,0
35,1855,1,-1,195,0
32,453,2,-1,0,0
36,1473,2,-1,191,0
34,184,4,-1,119,0
50,766,2,-1,154,0
37,2120,4,-1,-3,0
33,-886,6,-1,85,0
31,477,5,-1,-3,0
35,121,5,-1,197,0
54,853,5,-1,155,0
43,-236,7,-1,113,0
59,0,1,-1,166,0
46,588,3,237,212,0
32,514,2,-1,174,0
29,396,2,-1,172,0
25,160,1,-1,128,0
34,72,2,-1,91,0
28,1027,1,-1,188,0
34,5945,1,170,194,0
48,2262,1,-1,106,0
34,0,1,470,107,0
59,0,1,-1,196,0
60,89,2,-1,202,0
56,13,2,-1,190,0
31,168,3,-1,187,0
27,259,2,-1,184,0
29,795,2,-1,131,0
55,2537,5,-1,91,0
34,2729,1,139,226,1
39,2288,1,-1,187,0
55,3982,1,-1,292,0
44,4330,9,-1,153,0
35,1694,6,-1,110,0
47,206,1,-1,196,0
42,2416,4,-1,182,0
59,101,1,686,162,0
34,76,2,371,189,0
47,449,4,-1,189,0
31,0,2,167,198,0
35,869,1,-1,173,0
32,678,1,246,287,0
37,353,2,-1,98,0
33,2441,1,-1,-1,0
29,125,1,-1,189,0
21,-59,1,-1,167,0
49,630,2,-1,165,0
47,3676,2,342,126,0
31,19,5,-1,183,0
59,108,4,-1,99,0
27,197,1,-1,118,0
25,468,1,-1,187,0
49,308,2,91,23,0
41,1654,1,-1,188,0
35,612,1,195,7,0
46,2273,3,-1,127,0
51,0,2,-1,261,0
55,913,5,-1,154,0
42,0,2,-1,194,0
47,3936,2,-1,110,0
37,1000,1,99,57,1
35,3,5,-1,174,0
51,42,2,342,190,0
45,1293,3,-1,125,0
39,4023,2,238,293,0
30,764,2,-1,176,0
35,0,2,-1,127,0
49,8648,1,-1,1,0
30,313,2,-1,287,0
28,9779,2,-1,174,0
41,134,4,-1,99,0
36,119,8,-1,118,0
54,887,1,-1,183,0
29,1992,1,87,133,0
27,1075,1,-1,261,0
34,1026,1,100,6,0
52,-528,2,-1,170,0
29,266,2,-1,293,0
38,12130,2,328,190,0
55,274,5,-1,282,0
41,20,1,-1,166,0
57,0,2,-1,162,0
46,765,2,-1,104,0
41,1076,2,391,168,0
32,376,4,-1,240,0
37,455,6,-1,97,0
44,0,1,-1,132,0
28,153,2,-1,118,0
49,22520,9,-1,-3,0
43,2355,3,-1,219,0
22,-51,1,-1,187,0
40,0,4,-1,151,0
37,381,2,-1,217,0
46,138,2,-1,225,0
57,145,4,-1,155,0
35,482,2,-1,98,0
45,572,6,-1,286,0
43,1612,2,353,177,0
33,304,2,-1,189,0
32,356,3,-1,194,0
30,167,1,-1,131,0
46,2348,1,-1,1,0
21,2062,1,-1,168,0
55,1872,3,103,175,1
42,2095,3,-1,-3,0
54,4104,8,-1,126,0
44,-254,1,-1,151,0
29,602,2,-1,215,0
33,328,1,264,212,0
38,1110,2,183,-2,0
51,131,1,-1,0,0
35,67,2,-1,197,0
43,361,2,-1,194,0
34,148,2,-1,191,0
39,444,2,-1,194,0
47,3681,2,-1,96,0
31,5607,2,184,-2,0
50,0,2,-1,97,0
27,1596,1,-1,78,0
46,0,2,-1,194,0
34,4499,1,-1,181,0
35,16,1,-1,-1,0
33,291,6,-1,85,0
34,270,1,-1,196,0
27,535,3,95,94,1
45,351,1,-1,152,0
47,414,2,-1,84,0
43,85,3,279,212,0
38,372,3,-1,179,0
56,672,9,-1,120,0
33,-708,2,-1,81,0
58,5618,1,-1,187,0
31,2296,8,-1,165,0
30,0,2,-1,91,0
37,-271,1,-1,193,0
33,923,3,173,-1,0
34,1897,1,-1,-1,0
58,201,5,-1,131,0
54,154,12,-1,172,0
53,2289,1,-1,1,0
44,0,3,-1,1,0
68,2144,1,184,27,1
29,1374,2,178,188,1
43,13620,1,-1,-2,0
33,168,2,-1,176,0
48,5,2,-1,195,0
28,13186,2,-1,175,0
59,1085,1,-1,155,0
31,953,1,346,188,1
55,719,6,284,191,0
27,1372,1,-1,120,0
36,3623,1,378,6,1
45,1893,6,-1,168,0
42,1519,1,92,30,1
56,1059,2,-1,165,0
45,474,4,264,289,0
60,878,2,-1,97,0
42,3052,1,-1,175,0
33,0,1,-1,166,0
52,121,2,-1,117,0
55,6207,5,-1,145,0
55,225,2,-1,127,0
46,931,5,-1,112,0
35,495,1,-1,289,0
29,7,1,-1,133,0
36,658,3,-1,155,0
41,1483,4,-1,154,0
32,1287,2,-1,218,0
46,967,3,-1,134,0
31,6,4,-1,167,0
39,20932,2,-1,-3,0
38,1,5,199,-3,1
43,0,1,-1,120,0
47,28,2,-1,197,0
57,3585,1,-1,4,0
48,-478,5,167,1,0
59,6264,16,-1,88,0
49,1122,1,-1,106,0
58,3111,1,188,1,0
33,801,4,-1,91,0
30,175,4,-1,85,0
46,2115,3,-1,151,0
49,360,1,-1,131,0
49,1697,4,-1,112,0
44,5063,2,-1,22,0
35,1209,3,-1,176,0
40,3693,10,-1,172,0
34,1495,1,-1,195,0
60,132,1,-1,187,0
43,284,1,-1,294,0
45,5163,2,-1,151,0
47,641,3,-1,-3,0
44,134,4,-1,82,0
44,1265,1,-1,125,0
60,1626,2,-1,175,0
20,1819,3,-1,223,0
51,-27,4,-1,81,0
47,3008,3,-1,187,0
43,703,1,-1,190,0
45,816,3,-1,-2,0
35,681,1,561,273,1
30,9194,2,-1,179,0
58,1191,2,-1,104,0
47,4386,1,-1,118,0
63,4833,1,-1,96,0
31,418,1,-1,132,0
48,96,1,-1,194,0
34,-154,1,-1,132,0
41,2579,1,287,114,0
49,95,1,-1,194,0
32,163,3,-1,113,0
38,120,4,-1,97,0
34,0,3,-1,120,0
37,54,2,-1,119,0
46,2441,2,-1,152,0
41,0,14,-1,110,0
52,437,3,113,159,0
32,491,3,194,0,0
60,4,3,358,176,0
53,76,1,-1,186,0
29,4331,1,-1,134,0
35,1354,2,-1,169,0
47,380,6,-1,186,0
54,2423,4,-1,168,0
25,938,1,-1,170,0
62,0,1,-1,76,0
41,217,2,344,217,0
32,141,2,-1,289,0
70,4572,11,162,133,0
37,144,2,-1,166,0
58,1077,1,-1,156,0
30,187,6,-1,176,0
45,3354,1,-1,173,0
29,103,1,-1,183,0
59,1425,2,102,100,1
57,0,5,-1,89,0
33,1859,4,-1,292,0
60,553,1,210,289,1
51,94,3,-1,-1,0
49,972,2,-1,177,0
54,8,2,-1,133,0
51,-238,1,-1,117,0
51,1927,4,-1,125,0
60,1226,3,-1,172,0
29,3615,3,-1,111,0
42,257,2,-1,190,0
56,0,8,-1,84,0
30,4874,10,-1,85,0
36,393,1,-1,181,0
33,335,2,-1,190,0
41,832,1,176,-3,0
38,227,4,-1,97,0
28,72,4,-1,131,0
51,193,3,-1,189,0
49,20727,2,-1,-2,0
55,11655,1,-1,105,0
43,5233,2,-1,153,0
31,388,2,-1,197,0
32,1388,1,105,97,1
42,879,1,-1,0,0
25,-507,2,-1,167,0
31,0,31,-1,82,0
38,93,1,272,177,0
54,6020,1,-1,165,0
31,1017,1,-1,289,0
58,50,4,-1,168,0
33,490,1,363,195,0
46,1363,4,-1,195,0
30,631,3,-1,97,0
45,15515,2,-1,106,0
49,87,1,-1,293,0
59,2011,2,-1,-3,0
52,1306,1,-1,156,0
44,320,3,234,286,0
34,136,2,-1,194,0
25,-121,2,-1,196,0
37,49,1,-1,88,0
40,1011,12,-1,133,0
36,-402,6,-1,181,0
25,3856,28,-1,151,0
45,900,1,-1,162,0
51,12,1,-1,1,0
52,36,1,-1,186,0
29,265,2,94,86,1
31,1094,8,-1,159,0
27,88,1,-1,198,0
53,2578,4,107,-1,0
42,179,1,-1,1,0
35,0,6,-1,85,0
33,1,4,-1,248,0
32,0,2,-1,1,0
36,740,2,-1,172,0
47,0,2,-1,173,0
42,33,5,-1,119,0
43,1,2,-1,126,0
46,2087,3,-1,-2,0
27,259,10,-1,179,0
33,1126,1,490,73,0
58,0,7,-1,131,0
28,135,1,-1,181,0
34,20,2,-1,0,0
42,299,2,-1,189,0
28,1391,2,247,293,0
36,0,2,131,1,0
34,63,2,-1,102,0
35,725,7,133,-2,0
52,262,4,-1,153,0
53,4641,2,-1,155,0
58,630,1,174,-1,0
37,1498,1,-1,212,0
38,342,1,-1,167,0
47,480,6,-1,151,0
32,29,24,-1,110,0
36,0,1,-1,106,0
28,1238,2,-1,174,0
31,524,2,-1,173,0
45,3492,4,-1,151,0
37,1,2,-1,155,0
37,117,4,-1,98,0
30,773,1,-1,167,0
32,19985,5,-1,282,0
37,6,2,-1,293,0
30,0,5,-1,118,0
37,5436,11,351,196,0
36,5024,1,-1,181,0
25,38,5,-1,119,0
29,309,1,-1,189,0
35,-17,1,-1,294,0
32,880,1,-1,167,0
40,1603,1,-1,154,0
47,389,2,-1,165,0
50,1098,1,-1,154,0
43,-287,4,-1,212,0
33,237,2,-1,287,0
82,0,5,-1,70,0
24,258,1,-1,184,0
45,4994,1,-1,151,0
37,864,1,-1,172,0
35,841,6,-1,84,0
33,217,1,339,212,0
38,1137,1,-1,189,0
57,1969,3,-1,96,0
51,126,1,-1,165,0
32,762,11,-1,122,0
50,11528,1,-1,172,0
51,349,3,-1,186,0
51,518,1,-1,190,0
39,2043,1,-1,154,0
58,100,2,-1,130,0
42,1288,1,-1,188,0
37,0,5,-1,104,0
35,0,2,271,289,0
43,487,2,-1,195,0
37,449,4,-1,81,0
57,950,1,-1,132,0
40,1029,2,117,1,0
39,0,3,176,189,0
45,116,3,-1,160,0
20,88,1,181,28,0
25,895,3,-1,120,0
35,5304,1,183,-2,0
44,1818,1,92,288,0
43,1612,2,95,82,1
36,1707,2,-1,153,0
32,0,2,-1,212,0
46,830,2,-1,130,0
43,3311,2,184,-2,0
52,1818,2,111,1,0
44,633,1,-1,189,0
41,4178,2,-1,151,0
59,27,3,-1,197,0
26,1527,1,-1,286,0
34,-292,6,-1,91,0
57,649,2,-1,189,0
52,310,4,-1,174,0
27,377,3,91,89,0
32,882,8,-1,112,0
33,1431,1,85,202,0
55,8104,2,-1,285,0
60,-396,1,350,191,0
41,1491,2,-1,-1,0
33,165,3,258,286,0
33,5,1,-1,103,0
55,7378,3,-1,188,0
76,1780,3,-1,209,0
37,1027,1,152,261,1
43,714,6,362,184,0
52,1401,8,-1,84,0
44,764,5,-1,126,0
47,310,2,-1,81,0
33,463,1,-1,179,0
54,190,2,-1,187,0
50,82,1,-1,227,0
41,1026,6,-1,81,0
42,0,2,-1,134,0
42,1519,1,-1,122,0
50,135,4,-1,85,0
51,0,5,-1,175,0
48,432,2,-1,182,0
51,518,1,-1,1,0
30,218,2,-1,137,0
48,2054,2,-1,104,0
35,1189,2,-1,96,0
54,276,1,-1,205,0
48,0,4,-1,-1,0
36,297,5,-1,126,0
29,872,1,-1,195,0
46,2196,5,-1,113,0
33,90,2,263,215,0
29,3432,2,-1,215,0
33,1399,4,-1,98,0
31,498,2,-1,99,0
44,2657,2,-1,151,0
23,377,1,-1,82,0
44,1380,1,-1,190,0
38,0,8,-1,125,0
39,125,1,-1,194,0
55,1983,1,-1,-1,0
26,440,1,-1,286,0
32,-170,1,-1,196,0
40,2141,3,-1,0,0
24,-256,2,-1,176,0
55,120,3,-1,83,0
48,543,1,336,216,0
39,214,11,-1,175,0
42,151,3,-1,197,0
32,1466,2,-1,190,0
42,2959,1,342,139,0
41,80,1,-1,-1,0
28,-227,2,-1,167,0
38,8251,3,-1,165,0
35,20,3,-1,124,0
28,171,1,-1,253,0
34,1386,6,-1,174,0
30,6,3,-1,294,0
39,1572,4,-1,103,0
39,564,4,-1,89,0
32,1473,7,-1,96,0
29,-24,1,-1,187,0
31,-513,1,-1,134,0
28,3,2,-1,188,0
31,0,1,-1,182,0
33,12,1,-1,190,0
52,475,3,-1,113,0
45,5244,16,-1,173,0
59,1525,2,-1,112,0
33,2297,1,-1,114,0
46,3280,1,-1,170,0
32,3052,3,151,212,0
33,321,10,-1,111,0
42,505,2,-1,188,0
30,0,2,-1,88,0
26,1570,1,-1,179,0
42,356,3,356,195,0
35,333,5,-1,154,0
41,169,1,-1,197,0
28,232,1,-1,212,0
40,-27,1,-1,140,0
55,51,2,-1,90,0
35,3302,3,-1,184,0
38,246,8,-1,118,0
35,13658,2,-1,-21,0
54,2237,5,-1,-3,0
59,57,1,-1,197,0
38,1270,1,337,187,0
33,1076,1,96,7,0
50,1518,2,-1,110,0
49,-165,3,-1,113,0
33,6,4,-1,85,0
34,313,3,-1,127,0
28,416,2,-1,189,0
35,1354,6,-1,-3,0
34,129,2,-1,194,0
28,3430,6,-1,165,0
51,2402,1,-1,173,0
41,1066,3,-1,280,0
37,0,2,306,191,0
58,4962,1,-1,1,0
40,1155,1,-1,138,0
34,43,8,-1,85,0
31,1164,2,123,0,0
70,15265,2,-1,93,0
50,1580,3,-1,-1,0
30,314,2,175,-1,1
45,1577,4,-1,151,0
36,396,5,-1,97,0
31,449,4,252,287,0
51,2237,1,-1,173,0
36,953,1,81,93,0
28,722,1,-1,181,0
35,3,1,-1,285,0
44,251,3,-1,113,0
33,1240,1,-1,190,0
57,1301,2,-1,112,0
33,37,1,-1,133,0
24,448,1,-1,218,0
22,897,4,-1,287,0
53,427,4,-1,96,0
46,0,1,-1,1,0
39,633,1,-1,162,0
54,306,1,-1,289,0
30,702,1,-1,181,0
53,517,2,-1,153,0
43,25741,2,-1,172,0
58,1,1,64,230,0
48,3008,1,187,0,0
37,2685,2,-1,151,0
47,107,1,-1,187,0
47,266,1,-1,91,0
28,836,1,-1,183,0
43,774,1,91,147,1
40,683,2,-1,289,0
35,5,3,-1,-3,0
37,-42,2,-1,188,0
47,537,3,-1,187,0
29,144,3,-1,169,0
28,105,1,-1,125,0
31,519,2,-1,293,0
26,127,3,-1,118,0
55,804,5,-1,110,0
45,3559,1,-1,-2,0
43,16,4,-1,190,0
34,7,2,-1,174,0
42,135,6,-1,189,0
35,116,1,-1,165,0
45,-139,3,-1,195,0
63,2287,1,-1,78,0
42,525,6,-1,151,0
38,656,7,-1,88,0
35,434,1,-1,197,0
31,-231,2,-1,84,0
